taxa_clean,taxonID,taxonRank,acceptedNameUsageID,taxonomicStatus,update_date,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,vernacularName
Ficus nitida,ITIS:513572,species,ITIS:19083,synonym,2011-08-30,Plantae,NA,Magnoliopsida,Rosales,Moraceae,Ficus,benjamina,,weeping fig
Catalpa bignonioides,ITIS:34313,species,ITIS:34313,accepted,2011-09-22,Plantae,NA,Magnoliopsida,Lamiales,Bignoniaceae,Catalpa,bignonioides,,southern catalpa
Citrus aurantifolia,ITIS:28883,species,ITIS:825203,synonym,2011-09-22,Plantae,NA,Magnoliopsida,Sapindales,Rutaceae,Citrus,X,aurantiifolia,key lime
Cupressus sempervirens,ITIS:183456,species,ITIS:183456,accepted,2011-07-25,Plantae,NA,Pinopsida,Pinales,Cupressaceae,Cupressus,sempervirens,,Italian cypress
Thuja orientalis,ITIS:183443,species,ITIS:183445,synonym,2011-07-25,Plantae,NA,Pinopsida,Pinales,Cupressaceae,Platycladus,orientalis,,oriental arborvitae
Punica granatum,ITIS:27278,species,ITIS:27278,accepted,2012-06-27,Plantae,NA,Magnoliopsida,Myrtales,Lythraceae,Punica,granatum,,pomegranate
Carnegiea gigantea,ITIS:506151,species,ITIS:506151,accepted,2013-06-12,Plantae,NA,Magnoliopsida,Caryophyllales,Cactaceae,Carnegiea,gigantea,,saguaro
Sophora secundiflora,ITIS:505295,species,ITIS:1085572,synonym,2018-10-26,Plantae,NA,Magnoliopsida,Fabales,Fabaceae,Dermatophyllum,secundiflorum,,mescalbean
Vitex agnus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Albizia julibrissin,ITIS:26449,species,ITIS:26449,accepted,2011-06-29,Plantae,NA,Magnoliopsida,Fabales,Fabaceae,Albizia,julibrissin,,silktree
Gleditsia triacanthos,ITIS:26714,species,ITIS:26714,accepted,2011-06-29,Plantae,NA,Magnoliopsida,Fabales,Fabaceae,Gleditsia,triacanthos,,honeylocust
